atc,nameen,ddd,administration_route
C10AB10,clofibride,,
D07BB03,triamcinolone and antiseptics,,
LO1XE08,,,
B05AA56,"gelatine-containing agents, combinations",,
P01AA52,"clioquinol, combinations",,
V01AA01,feather,,
V03AF01,mesna,,
R01AX18,hypromellose,,
A10AD01,insulin (human),40,P
M02AH20,mixes,,
B03AD04,ferric oxide polymaltose complexes,,
G03GB02,clomifene,9,O
C02LA03,deserpidine and diuretics,,
M09AP07,guaiac wood,,
G04B,urologicals,,
N05BC03,emylcamate,0.9,O
H03AA53,"combinations of levothyroxine and liothyronine, combinations",,
M09AB52,"trypsin, combinations",,
G01AF18,flutrimazole,,
M09AX,other drugs for disorders of the musculo-skeletal system,,
J05AE02,indinavir,2.4,O
A11HA01,nicotinamide,0.15,O
C05AE02,isosorbide dinitrate,,
J07BD,measles vaccines,,
D07AB05,fluperolone,,
D01AE16,amorolfine,,
L04,immunosuppressants,,
A03BB02,methylatropine,3,O
R07AX99,,,
A08AB99,,,
A10XH20,mixes,,
R02AA20,various,,
N05AF,thioxanthene derivatives,,
V08EA01,hexaminolevulinate,,
D06BB03,aciclovir,,
V10AX04,erbium (169er) citrate colloid,,
B03AA12,ammonium iron (ii) sulfate,"0,2",O
A06AZ,,,
G03DB03,medrogestone,,
D02AA01,dimethicone,,
V03AF03,calcium folinate,60,O
B03AA08,ferrous tartrate,0.2,O
D07CD,"corticosteroids, very potent, combinations with antibiotics",,
S01FA04,cyclopentolate,,
G03AC04,quingestanol,,
D03,preparations for treatment of wounds and ulcers,,
B05BA10,combinations,,
H02AA,mineralocorticoids,,
C01BA33,detajmium,,
S01AA09,tetracycline,,
C03DA01,spironolactone,75,O
D05AC,antracen derivatives,,
S02AA30,"antiinfectives, combinations",,
D11AE,androgens for topical use,,
R03DX07,roflumilast,0.5,O
S01XA02,retinol,,
N02CX02,clonidine,0.1,O
C05CA59,"trimethylhesperidine, combinations",,
M03BX55,"thiocolchicoside, combinations",,
J01FF02,lincomycin,1.8,O
L01XD07,padeliporfin,,
C01EB16,ibuprofen,30,P
N03AD01,ethosuximide,1.25,O
M04AB05,lesinurad,,
J05AX05,inosine pranobex,3,O
G02AD03,gemeprost,1,V
A05AP,herbal remedies for bile therapy,,
C02LG01,dihydralazine and diuretics,,
A07AB50,"other sulfonamides, combinations",,
J05AE04,nelfinavir,2.25,O
S01XA19,"limbal stems cells, autologous",,
D01B,antifungals for systemic use,,
V08AB05,iopromide,,
B05BC,solutions producing osmotic diuresis,,
A05AA04,obeticholic acid,10,O
M02AC53,"hydroxypropyl salicylate, combinations",,
N02AA04,nicomorphine,30,O
D06BB07,lysozyme,,
A03EA05,"drofenin, combinations",,
R06AB52,"dexchlorpheniramine, combinations",,
N04AH,homeopathic and anthroposophic antiparkinson drugs,,
N06BX54,"deanol, combinations",,
S01ED08,bupranolol,"0,2",TD
R06AB51,"brompheniramine, combinations",,
L01AD01,carmustine,,
G02CC01,ibuprofen,,
D11BH20,mixes,,
B02AA,amino acids,,
R03CC03,terbutaline,15,O
S01CA11,clobetasone and antiinfectives,,
C10BX15,atorvastatin and perindopril,,
L01XX43,vismodegib,,
A01AB06,domiphen,3,O
B01AC18,triflusal,0.6,O
S03AA04,chlorhexidine,,
C04AX01,cyclandelate,0.6,O
C02CA02,indoramin,,
J01DC01,cefoxitin,6,P
A10AF,insulins and analogues for inhalation,,
C02CA03,trimazosin,0.3,O
G03CA09,promestriene,,
B05B,i.v. solutions,,
A04AD,other antiemetics,,
G,genito urinary system and sex hormones,,
D01AA07,pyrrolnitrin,,
B02AB04,camostat,,
D04AA01,thonzylamine,,
N02,analgesics,,
V04CX29,lactate test zone,,
A02BX77,"gefarnate, combinations with psycholeptics",,
B03AE01,"iron, vitamin b12 and folic acid",,
A10AB05,insulin aspart,40,P
J01EC52,"sulfadiazine, combinations",,
A16AB07,alglucosidase alfa,0.1,P
A01AB62,"hexetidine, combinations",,
R02AB54,"bacitracin, combinations",,
N04BX01,tolcapone,0.45,O
A02BC53,"lansoprazole, combinations",,
M04AA02,tisopurine,,
D08AX19,formaldehyde,,
R01AH,homeopathic and anthroposophical rhinologics for topical application,,
G04CP50,combinations with other agents,,
C08EX02,perhexiline,,
G03FB08,dydrogesterone and estrogen,,
L03AX18,cridanimod,,
V06DC20,mixes,,
S01BC09,pranoprofen,,
R05GA02,"tetracycline, combinations",1,O
A06AC02,ethulose,3,O
M01BP,other herbal antiphlogistics/antirheumatics in combination,,
B05XA03,sodium chloride,,
R03DB05,aminophylline and adrenergics,,
D08AX69,"formaldehyde, combinations",,
J07AE01,"cholera, inactivated, whole cell",,
N07CA03,flunarizine,10,O
N06AX11,mirtazapine,30,O
N02BP01,aconite,,
A03AX31,pramiver,,
C09B,"ace inhibitors, combinations",,
B02BD,blood coagulation factors,,
R01BX02,cafaminol,,
C04AX30,azapetine,0.15,O
H05BX04,etelcalcetide,2.1,P
C01DA57,"propatylnitrate, combinations",,
C10AB06,simfibrate,,
M01AX13,proquazone,0.9,O
M03AX21,botulinum toxin type a,,
B03AB09,ferric proteinsuccinylate,80,O
N02AD01,pentazocine,0.2,O
G03FB07,medrogestone and estrogen,,
R01AH20,mixes,,
S01AA24,kanamycin,,
J07BJ,rubella vaccines,,
C07AB,"beta blocking agents, selective",,
H01BB03,carbetocin,0.1,P
R01AA15,indanazoline,,
C01DX16,nicorandil,40,O
A01AD06,adrenalone,,
P02D,anticestodals,,
D11AA52,"aluminium salts, combinations",,
A16AB04,agalsidase beta,5,P
R07AB02,nikethamide,0.5,O
C08CA01,amlodipine,5,O
D10AF54,clindamycin and benzoyl peroxide,,
A10BH05,linagliptin,5,O
C08C,selective calcium channel blockers with mainly vascular effects,,
B03AD01,ferrous amino acid complex,,
L01XX08,pentostatin,,
J01EC,intermediate-acting sulfonamides,,
C07AB10,epanolol,0.2,O
C01DA55,"pentaerithrityl tetranitrate, combinations",,
L01BA01,methotrexate,,
B05CA03,nitrofural,,
B01AD51,"streptokinase, combinations",,
R03DX50,"other systemic antiasthmatics, combinations",,
C05BA03,heparin,,
C05AA11,fluocinonide,,
V04CX10,various,,
G01AX11,povidone-iodine,0.2,V
G02BB,intravaginal contraceptives,,
S01ED61,timolol and latanoprost,"0,1",TD
B01AA07,acenocoumarol,5,O
J02AC03,voriconazole,0.4,P
B02BD08,coagulation factor viia,,
S01AB07,sulfisomidine,,
A05AA,bile acids and derivatives,,
R01AH01,loofah operculata,,
N05CM11,bromides,,
V09AA,technetium (99mtc) compounds,,
J04AA,aminosalicylic acid and derivatives,,
A14AB,estren derivatives,,
V09DB02,technetium (99mtc) microcolloid,,
D08AX30,mixes,,
N03AX18,lacosamide,0.3,O
D10AF03,chloramphenicol,,
G04BZ,,,
D08AX01,hydrogen peroxide,,
A06AD19,magnesium citrate,,
N02CP02,etheric ole,,
V08AA01,diatrizoic acid,,
J01MA02,ciprofloxacin,1,O
A03AE01,alosetron,1,O
R03BB,anticholinergics,,
V06DA,"carbohydrates/proteins/minerals/vitamins, combinations",,
C03AA13,mebutizide,,
A11HA07,inositol,,
B03AB07,chondroitin sulfate-iron complex,,
A01AB02,hydrogen peroxide,60,O
R06AX30,etoloxamine,,
N07BA,drugs used in nicotine dependence,,
N02AA57,"ethylmorphine, combinations",,
A12BA52,"potassium citrate, combinations",,
A01AD08,becaplermin,,
R05DA56,"normethadone, combinations",,
P02CA03,albendazole,0.4,O
A10BX14,,,
A05AX09,febuprol,,
S01BB,corticosteroids and mydriatics in combination,,
G01AF11,ketoconazole,0.4,V
M01AX04,azapropazone,0.75,O
R01AB01,phenylephrine,,
S01EE05,tafluprost,,
R06AA08,carbinoxamine,16,O
V03AN01,oxygen,,
M01CA03,oxycinchophen,1.5,O
M03,muscle relaxants,,
N05AH03,olanzapine,10,P
J04AD,thiocarbamide derivatives,,
A07AX04,nifurzide,,
R03AK12,salmeterol and budesonide,,
G04CX99,,,
R05XA08,"phenazone, combinations",,
C02LF,guanidine derivatives and diuretics,,
G03GB01,cyclofenil,0.14,O
L02BX,other hormone antagonists and related agents,,
J01MA08,fleroxacin,0.4,O
J07AG52,"hemophilus influenzae b, combinations with pertussis and toxoids",,
A16AA07,metreleptin,,
A10AD02,insulin (beef),40,P
B01AE,direct thrombin inhibitors,,
A08AB20,mixes,,
C08E,non-selective calcium channel blockers,,
N02CC03,zolmitriptan,2.5,O
C07FB02,metoprolol and felodipine,,
N06AF05,iproniazide,,
C03AA03,hydrochlorothiazide,25,O
M03BA01,phenprobamate,1.6,O
N02BA15,carbasalate calcium,3.6,O
G02CB06,terguride,,
J01CR04,sultamicillin,1.5,O
C04AX23,butalamine,,
B01,antithrombotic agents,,
D01AC16,flutrimazole,,
C04AX28,ifenprodil,,
N01BB52,"lidocaine, combinations",,
D11AC08,sulfur compounds,,
A09A,"digestives, incl. enzymes",,
L02AE05,histrelin,0.137,implant
D07CC05,fluocinonide and antibiotics,,
A10BA03,buformin,0.2,O
B02BD04,coagulation factor ix,,
C02LX01,pinacidil and diuretics,,
M01AX27,mucopolysaccharide polysulfuric acid esters,,
V04CN07,opiate test zone,,
R05FH10,various,,
B03,antianemic preparations,,
A03HH10,various,,
J07BB,influenza vaccines,,
D02AF01,salicylic acid,,
V03AK,tissue adhesives,,
D03AP06,maize germol,,
C02DB,hydrazinophthalazine derivatives,,
M01AX26,"avocado and soyabean oil, unsaponifiables",,
L02B,hormone antagonists and related agents,,
S01EE01,latanoprost,,
A05AA55,"total bile acids, combinations",,
J01XX05,methenamine,2,O
A02XA53,"guajazulene, combinations",,
R01BA,sympathomimetics,,
C07AB04,acebutolol,0.4,O
M03BA05,febarbamate,0.3,O
L01BC04,carmofur,,
D01AC15,fluconazole,,
A01AB21,chlortetracycline,,
J01MA13,trovafloxacin,0.2,O
C10AD08,xantinol nicotinate,2,O
V04BA,urine tests,,
C07AG02,carvedilol,37.5,O
M02AH10,various,,
A10BX02,repaglinide,4,O
S01AA22,micronomicin,,
D04,"antipruritics, incl. antihistamines, anesthetics, etc.",,
R03CK,adrenergics and other drugs for obstructive airway diseases,,
L02BG03,anastrozole,1,O
S01,ophthalmologicals,,
L04AX01,azathioprine,0.15,O
V03AB02,nalorphine,,
G03EK,androgens and female sex hormones in combination with other drugs,,
B05CA09,neomycin,,
V09CX,other renal system diagnostic radiopharmaceuticals,,
D11AH04,alitretinoin,20,O
R02AA21,octenidine,,
R01AC04,antazoline,,
N06BA14,guanfacine,3,O
G04BD08,solifenacin,5,O
C07BB03,atenolol and thiazides,,
R03DA09,acefylline piperazine,,
S01GA11,pholedrin,,
L03AH02,echinacea angustifolia,,
N05AH,"diazepines, oxazepines, thiazepines and oxepines",,
D11AG50,"washing lotions/soap, combinations",,
G03AA11,norgestimate and ethinylestradiol,,
V04CK02,pancreozymin (cholecystokinin),,
A06AC07,triticum (wheat fibre),10,O
H02BX08,"triamcinolone, combinations","7,5",P
N05CX11,"chloral hydrate, combinations",,
D08AJ57,"octenidine, combinations",,
C09DX04,valsartan and sacubitril,,
L04AC03,anakinra,0.1,P
H03AA03,combinations of levothyroxine and liothyronine,,
M02AC52,"methyl salicylate, combinations",,
N02AJ09,codeine and other non-opioid analgesics,,
G03FA08,megestrol and estrogen,,
C01BA12,lorajmine,0.3,O
V09IX07,fluoromethylcholine (18f),,
S01AX06,resorcinol,,
S01EX01,guanethidine,,
P01AB01,metronidazole,2,O
M03BB,"oxazol, thiazine, and triazine derivatives",,
R05GB05,"ampicillin, combinations",2,O
R03CA51,"epinephrine, combinations",,
D11AG,medical soaps,,
C09BA04,perindopril and diuretics,,
B05BC02,carbamide,,
S01FB02,ephedrine,,
G04CH01,sabal serrulatum,,
A07BA01,medicinal charcoal,5,O
R05GB06,"cefaclor, combinations",1,O
M01BA07,metamizole and corticosteroids,,
A10BD18,metformin and gemigliptin,,
R07AH,other homeopathic and anthroposophical means for the respiratory tract,,
N05CM20,diphenhydramine,50,O
G03AB08,dienogest and estradiol,,
S01BC08,salicylic acid,,
M09AA72,"quinine, combinations with psycholeptics",,
L01XD01,porfimer sodium,,
D06BP,herbal chemotherapeutics incl. antiviral agents for topical application,,
D10BX01,ichtasol,,
M02AA18,meclofenamic acid,,
J01XA03,telavancin,,
C08DA51,"verapamil, combinations",,
A06AB01,oxyphenisatine,10,O
N05AA02,levomepromazine,0.3,O
D04AB02,cinchocaine,,
N05AE05,lurasidone,60,O
L02BG05,vorozole,,
C10A,"lipid modifying agents, plain",,
N07AX03,cevimeline,90,O
M05BX01,ipriflavone,,
N05AE04,ziprasidone,80,O
C01CA58,"oxedrin, combinations",,
R05DP01,sundew,,
S01AA02,chlortetracycline,,
A11CC80,"colecalciferol, combinations with sodium fluoride",500,O
G03BA01,fluoxymesterone,5,O
A03AX03,chlorbenzoxamine,0.15,O
C08CA,dihydropyridine derivatives,,
A07DA04,difenoxin,,
M09AP02,bromelain**,"0,2",O
D01AE04,undecylenic acid,,
N01AX,other general anesthetics,,
C02KZ,,,
L02BA02,toremifene,60,O
L01XX56,etirinotecan pegol,,
J06AA06,rabies serum,,
J01FG02,quinupristin/dalfopristin,1.5,P
A07XP01,ceratonia**,,
N02BA13,lysine acetylsalicylate,3,O
A02BD08,"bismuth subcitrate, tetracycline and metronidazole",,
V10XA01,sodium iodide (131i),,
C02L,antihypertensives and diuretics in combination,,
C03AB07,cyclopenthiazide and potassium,0.5,O
V09IX09,gallium (68ga) edotreotide,,
D10AD05,motretinide,,
J07AJ01,"pertussis, inactivated, whole cell",,
B05XA11,magnesium chloride,,
R01AA02,cyclopentamine,,
N05CX01,"meprobamate, combinations",,
D10AF01,clindamycin,,
D02AX03,guaiaculae,,
S02CA06,dexamethasone and antiinfectives,,
D11AZ,,,
D03AX14,calf's blood extract,,
C03AA02,hydroflumethiazide,25,O
R05XH,homeopathic and anthroposophic remedies against cold diseases,,
H01CB02,octreotide,0.7,P
B06AC02,icatibant,30,P
V10XX02,ibritumomab tiuxetan (90y),,
L01AX03,temozolomide,,
L04AC10,secukinumab,10,P
N05CH,melatonin receptor agonists,,
B01AC,platelet aggregation inhibitors excl. heparin,,
V90A,individually imported on ( 73 paragraph 3 amg),,
R01AD03,dexamethasone,,
D07BC02,fluocinolone acetonide and antiseptics,,
A07EA06,budesonide,9,O
J05AX65,sofosbuvir and ledipasvir,,
D09AA02,fusidic acid,,
S01C,antiinflammatory agents and antiinfectives in combination,,
C02CC,guanidine derivatives,,
B05AX05,granulocytes,,
C01BD05,ibutilide,1,P
B01AC36,acetylsalicylic acid and dipyridamole,"0,4",O
V03AB14,protamine,,
N07AX,other parasympathomimetics,,
N03AX07,phenacemide,1.5,O
V04CX15,streptococcal test zone,,
J01DD10,cefetamet,1,O
R03AK02,isoprenaline and other drugs for obstructive airway diseases,,
A03DA01,tropenzilone and analgesics,,
R01AB03,tetryzoline,,
R05CA26,casein hydrolysate,,
A03AX14,valethamate,,
V04CX23,coagulation parameters,,
M09AP04,nettle leaves,10,O
A07DA54,"difenoxin, combinations",,
V03ZA03,,,
A09AB01,glutamic acid hydrochloride,1.5,O
C07F,"beta blocking agents, other combinations",,
D05BB,retinoids for treatment of psoriasis,,
A06AG01,sodium phosphate,,
H01CA01,gonadorelin,,
S01CA54,dexamethasone and oxytetracycline,,
N05BC04,mebutamate,,
A08AH20,mixes,,
N02BE51,"paracetamol, combinations excl. psycholeptics",,
G03CX,other estrogens,,
R03AK04,salbutamol and sodium cromoglicate,,
N02BB06,phenazone salicylate,,
P02CX01,pyrvinium,0.35,O
R03DA74,"theophylline, combinations with psycholeptics",,
C10BX04,"simvastatin, acetylsalicylic acid and ramipril",,
N07BC,drugs used in opioid dependence,,
D01AE74,"dichlorophene, combinations",,
J01DI01,ceftobiprole medocaril,1.5,P
H05,calcium homeostasis,,
A10BD17,metformin and acarbose,,
S01EA52,"dipivefrin, combinations",,
J01DH05,biapenem,1.2,P
H03C,iodine therapy,,
G04BP06,goldenrod,9,O
N02AJ18,oxycodone and acetylsalicylic acid,,
S01AX,other antiinfectives,,
N03AX31,potassium bromide,,
B03B,vitamin b12 and folic acid,,
N05BX05,lavandulae aetheroleum,,
D10BX02,zinc sulfate,,
N06BX22,phenibut,,
N04AA01,trihexyphenidyl,10,O
N01AX03,ketamine,,
D04AX01,tannins,15,T
D02BB01,betacarotene,0.1,O
S01G,decongestants and antiallergics,,
J01CA10,mezlocillin,6,P
C10BX10,rosuvastatin and valsartan,,
AO6AB56,,,
N05CC04,dichloralphenazone,1.3,O
D05BB02,acitretin,35,O
D08AX05,isopropanol,,
S02DC30,mixes,,
H01AC02,somatrem,,
D09AB01,zinc bandage without supplements,,
N07BB07,nitrefazole,,
N05AC03,mesoridazine,0.2,O
A11CA02,betacarotene,,
D08AX04,tosylchloramide sodium,,
H02CA,anticorticosteroids,,
L01AX,other alkylating agents,,
M03BX02,tizanidine,12,O
N07AA02,pyridostigmine,0.18,O
V04CG03,histamine phosphate,,
D08AL30,silver,,
A03AX,other drugs for functional gastrointestinal disorders,,
J07AK01,"plague, inactivated, whole cell",,
S01XC08,carmellose,"0,4",TD
N06AX,other antidepressants,,
J07BB01,"influenza, inactivated, whole virus",,
G04BE52,"papaverine, combinations",,
C01AP50,"other plant glycosides, combinations",,
D07AB09,triamcinolone,,
D02BA01,aminobenzoic acid,,
A02BD07,"lansoprazole, amoxicillin and clarithromycin",,
R05CA06,senega,3,O
C09BX,"ace inhibitors, other combinations",,
P02BA02,oxamniquine,1,O
D04AX51,"tanning agent, combinations",,
S01XA20,artificial tears and other indifferent preparations,,
B01AE06,bivalirudin,0.25,P
D02AB51,"zinc oxide, combinations","2,5",T
N04A,anticholinergic agents,,
B05AX40,other blood products without central pharmaceutical number,,
A06AB,contact laxatives,,
D10AX07,polydimethyl silicone resin,,
C09C,"angiotensin ii antagonists, plain",,
J07BA,encephalitis vaccines,,
V07AI03,auxiliary means without pzn or auxiliary means number with ermaߩgtem tax rate,,
J01MA15,gemifloxacin,,
B01AC21,treprostinil,4.3,P
J06BB13,pertussis immunoglobulin,,
C03DA04,eplerenone,50,O
C02KA01,veratrum,,
A01AB26,aluminium chloride,,
J01EB07,sulfathiazole,,
D11AB63,"aluminium salts, combinations",,
S01AE,fluoroquinolones,,
A10BB11,glisoxepide,,
G03HB01,cyproterone and estrogen,,
A12CE,selenium,,
N05AX09,,,
S02DC,indifferent preparations,,
R04,breast rubs and other inhalates,,
C05AE,muscle relaxants,,
M01AE07,suprofen,0.4,O
R06AE,piperazine derivatives,,
J01FF01,clindamycin,1.2,O
B02BC02,oxidized cellulose,,
S01AE05,levofloxacin,,
H05BX02,paricalcitol,2,O
D02AE02,carbamide peroxide,,
H02BX06,"prednisolone, combinations",10,O
V09DB07,technetium (99mtc) phytate,,
M05BX06,romosozumab,,
D07BC03,fluocortolone and antiseptics,,
P03AP,herbal remedies against ectoparasites,,
G02CH01,agnus castus,,
C03AB06,trichlormethiazide and potassium,4,O
J05AP02,telaprevir,2.25,O
D02AC05,ethyllinolate,,
J01EB20,combinations,,
N06DX66,"pentifylline, combinations",,
G04BP05,red cabbage,,
J01EE,"combinations of sulfonamides and trimethoprim, incl. derivatives",,
D01AE12,salicylic acid,,
C07BB52,"metoprolol and thiazides, combinations",,
A12CH01,preparations containing magnesium,,
D06AX04,neomycin,,
D01AE05,polynoxylin,,
G04CX,other drugs used in benign prostatic hypertrophy,,
R03CA52,"ephedrine, combinations",,
J05AE14,simeprevir,"0,15",O
C01DA09,trolnitrate,20,O
L01XE24,ponatinib,,
C05AX04,zinc preparations,,
N07CZ,,,
G04BD66,"ethaverin, combinations",,
B02BD33,albutrepenonacog alfa,270,P
V09GA03,technetium (99mtc) teboroxime,,
L01DB11,pixantrone,,
H01AC,somatropin and somatropin agonists,,
S01ED05,carteolol,,
M02AA21,tolmetin,,
V09C,renal system,,
S02CA02,flumetasone and antiinfectives,,
L03AX12,melanoma vaccine,,
D09AA,medicated dressings with antiinfectives,,
D07CB,"corticosteroids, moderately potent, combinations with antibiotics",,
J06BB17,motavizumab,,
D05BX51,"fumaric acid derivatives, combinations",,
J01ED01,sulfadimethoxine,0.5,O
D11AA,antihidrotics,,
V04CX07,mab.b72.3,,
V07AZ,chemicals and reagents for analysis,,
V08AA09,methiodal,,
C02LA02,rescinnamine and diuretics,,
D07BC04,diflucortolone and antiseptics,,
J06BB14,measles immunoglobulin,,
A07AX51,"broxyquinoline, combinations",,
A03AC04,nicofetamide,,
A04AB55,"diphenhydramine, combinations",,
J07BK02,"zoster, live attenuated",,
N07XB,neuropathy drugs,,
L03AH10,various,,
N02CX,other antimigraine preparations,,
C06AA,ergotamine derivatives,,
B05XC,vitamins,,
B05BB53,"trometamol, combinations",,
B03AD,iron in combination with folic acid,,
J04AD03,ethionamide,0.75,O
R05DB12,bibenzonium bromide,90,O
G04BP03,orthosiphon blades,9,O
C03DA03,canrenone,,
N01AX15,xenon,,
J06BB01,anti-d (rh) immunoglobulin,,
N06AA14,melitracen,75,O
J05AH01,zanamivir,20,Inhal
C04AD54,"etofylline, combinations",,
N05AD04,moperone,20,P
J06AA01,diphtheria antitoxin,,
G02B,contraceptives for topical use,,
A07FA06,escherichia coli,,
C07FB,beta blocking agents and calcium channel blockers,,
C01CE01,amrinone,0.5,P
C01CA30,combinations,,
V70X,other recipes,,
R01AX02,retinol,800,N
C05AD01,lidocaine,,
A06AH04,naloxone,,
C01EP02,singeing herb,,
A07XZ,,,
M03BX05,thiocolchicoside,,
L03AG01,faecal enterococcus,,
N01AB,halogenated hydrocarbons,,
V10B,pain palliation (bone seeking agents),,
M01AE18,naproxcinod,,
J04AK03,terizidone,,
B01AY,enzymes for local application,,
L03AP52,"echinacea pallida root, combinations",,
C03BB03,clopamide and potassium,10,O
D08A,antiseptics and disinfectants,,
P03AP01,pyrethrum**,,
A02AB03,aluminium phosphate,,
J05AX06,pleconaril,,
R01B,nasal decongestants for systemic use,,
J01DD03,cefsulodin,4,P
L01XE14,bosutinib,,
A01AB24,thymol,,
R05CA22,ems salt,,
A12BA06,potassium adipate,,
C07CA05,propranolol and other diuretics,,
S01AX20,mixes,,
R03AL02,salbutamol and ipratropium bromide,,
C03BX,other low-ceiling diuretics,,
R01BA59,pseudoephedrine and triprolidine,"7,5",O
V09GX,other cardiovascular system diagnostic radiopharmaceuticals,,
N02AJ14,tramadol and dexketoprofen,,
C05CH10,various,,
G02CA,"sympathomimetics, labour repressants",,
J04,antimycobacterials,,
L03AB08,interferon beta-1b,4,P
J05AC,cyclic amines,,
D03AC,scar treatment agents,,
J01AA01,demeclocycline,0.6,O
A04AD08,chlorophenethazine,,
C02AA01,rescinnamine,,
C02AP01,"rough wolfia alkaloids, whole root**",,
V09GA02,technetium (99mtc) tetrofosmin,,
N02BA19,choline magnesium tris salicylate,,
V04CN11,alcohol test zone,,
N07X,other nervous system drugs,,
J02AX06,anidulafungin,0.1,P
R06AB05,pheniramine,75,O
L03AB60,"peginterferon alfa-2b, combinations",,
R05CP08,stud,,
D09AA05,benzododecinium,,
N01AH06,remifentanil,,
A11JB01,"vitamin e, combinations with minerals",30,O
N06AA06,trimipramine,0.15,P
S01AX11,,,
C01CB,ephedrine derivatives,,
R05DB25,morclofone,,
J01GB55,"neomycin, combinations",,
B02BD13,coagulation factor x,,
G03CA57,conjugated estrogens,0.625,O
A08AA02,fenfluramine,0.12,O
D05AX51,"fumaric acid, combinations",,
V01AA03,house dust mites,,
J05AD02,fosfonet,,
B01AC24,ticagrelor,0.18,O
R05CH,homoopathic and anthroposophical expectorants,,
J06BB09,cytomegalovirus immunoglobulin,,
A05AB01,nicotinyl methylamide,,
M04AH20,mixes,,
J07AL52,"pneumococcus purified polysaccharides antigen and haemophilus influenzae, conjugated",,
R,respiratory system,,
V70AA02,diamorphine,,
L03AX15,mifamurtide,0.7,P
J01XA01,vancomycin,2,P
B02BD31,moroctocog alfa,500,P
L03AP01,echinacea purpurea juice,"0,3",O
J01ED11,sulfaclomide,,
J05AF08,adefovir dipivoxil,10,O
V07AG,dressing materials,,
J01DF,monobactams,,
V09IX,other diagnostic radiopharmaceuticals for tumour detection,,
R01AC51,"cromoglicic acid, combinations",,
J01CF02,cloxacillin,2,O
G03XA,antigonadotropins and similar agents,,
G01AA14,neomycin,,
S01ED63,timolol and travoprost,"0,1",TD
G01AF07,isoconazole,0.6,V
N01BX05,propipocaine,,
H03BP,herbal thyrostatics,,
A06AB08,sodium picosulfate,5,O
N02B,other analgesics and antipyretics,,
S01AD,antivirals,,
G03GA07,lutropin alfa,75,P
D05,antipsoriatics,,
N02BG,other analgesics and antipyretics,,
D03AX,other cicatrizants,,
A10BX07,,,
G03BA03,testosterone,0.12,O
L01DB04,aclarubicin,,
N02CC01,sumatriptan,20,N
V04BA10,density test zone,,
M03BB53,"chlorzoxazone, combinations excl. psycholeptics",,
A05AP03,artichoke leaves,6,O
N05CM06,propiomazine,25,O
N05AX07,prothipendyl,0.24,O
P01AX02,emetine,60,P
A02BC07,dexrabeprazole,,
D05AA02,coal tar,,
R05CB14,neltenexine,,
A07EA07,beclometasone,,
G04BD65,"atropine, combinations",,
R03DA90,"other xanthines, combinations with psycholeptics",,
S01GA05,phenylephrine,,
A11JA03,"tocopherol (vitamin e), combinations",30,O
N05AH02,clozapine,0.3,O
A12CC08,magnesium pidolate,,
R03DB20,various xanthines and sympathomimetics,,
C05BX51,"calcium dobesilate, combinations",,
A04AA55,"palonosetron, combinations",,
C02KP30,mixes,,
N04AA08,dexetimide,0.5,O
A10BX03,nateglinide,0.36,O
C09AA11,spirapril,6,O
G03DA03,hydroxyprogesterone,10,P
N01BB57,"etidocaine, combinations",,
G03GA02,human menopausal gonadotrophin,75,P
D04AA32,diphenhydramine,,
L01XB01,procarbazine,,
D08AA03,euflavine,,
N02CA02,ergotamine,4,SL
P01AA02,clioquinol,,
N04BC08,piribedil,0.2,O
C05CP05,melilot,,
S01ED69,timolol and brimonidine,"0,2",TD
R03CC09,tretoquinol,9,O
J07AN,tuberculosis vaccines,,
B05AX01,erythrocytes,,
N05CC03,acetylglycinamide chloral hydrate,1.7,O
M01BA05,oxyphenobutazone and corticosteroids,,
A05B,"liver therapy, lipotropics",,
S01ED62,timolol and bimatoprost,"0,1",TD
V04BA15,creatine kinase test zone,,
A07EC01,sulfasalazine,2,O
S02DA04,cinchocaine,,
J06BB02,tetanus immunoglobulin,,
L02AE02,leuprorelin,0.134,P
P01BA03,primaquine,15,O
M05BB03,alendronic acid and colecalciferol,10,O
J07AE51,"cholera, combinations with typhoid vaccine, inactivated, whole cell",,
C05AD10,polidocanol (lauromacrogol 400),,
C03XA02,conivaptan,,
J07CA,"bacterial and viral vaccines, combined",,
N02AJ03,dihydrocodeine and other non-opioid analgesics,,
J07,vaccines,,
L03AB13,peginterferon beta-1a,8.9,P
N02BA05,salicylamide,3,O
J01Z,,,
N05CA07,talbutal,0.1,O
N04BA03,"levodopa, decarboxylase inhibitor and comt inhibitor",0.45,O
R05XH04,cinnabaris,,
D04AA,antihistamines for topical use,,
P02BX04,triclabendazole,,
A07BP02,coffee coal,,
M04AB02,sulfinpyrazone,0.3,O
N05CD04,estazolam,3,O
G03XB51,"mifepristone, combinations",0.2,O
J01DB09,cefradine,2,O
P03BA04,tetramethrin,,
R01AD21,fluocortine,,
N04BC02,pergolide,3,O
G03AB09,norgestimate and ethinyl estradiol,1,O
C03EC02,potassium canrenoate and low-ceiling diuretics,,
R02AB04,bacitracin,,
M02AA26,nimesulide,,
J01MA06,norfloxacin,0.8,O
S01EA02,dipivefrine,,
L03AG,bacterial immune stimulants,,
A02BD01,"omeprazole, amoxicillin and metronidazole",,
R01AX08,framycetin,,
C01CA09,metaraminol,50,P
C09DA04,irbesartan and diuretics,,
M09,other drugs for disorders of the musculo-skeletal system,,
